IR_target,n_samples_generated,n_minority_target,class_sep,feature_noise_std,flip_y,Train_size,Test_size,Train_c0,Train_c1,Train_IR_actual,Test_c0,Test_c1,Test_IR_actual,noise,Method,Holdout_Accuracy,Holdout_Balanced Accuracy,Holdout_Precision,Holdout_Recall,Holdout_F1,Holdout_Specificity,Holdout_G-Mean,Holdout_MCC,Holdout_ROC-AUC,Holdout_PR-AUC,Holdout_OK,Train_after_size,Train_after_c0,Train_after_c1,Train_after_IR,CV_F1_mean,CV_F1_std,CV_MCC_mean,CV_MCC_std,CV_PR-AUC_mean,CV_PR-AUC_std,CV_ROC-AUC_mean,CV_ROC-AUC_std,CV_OK,Holdout_error
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,Baseline RF,0.9424242424242424,0.6833333333333333,1.0,0.36666666666666664,0.5365853658536586,1.0,0.6055300708194983,0.5872202195147035,0.9686333333333332,0.88048401151239,True,3850.0,3500.0,350.0,10.0,0.5542765649356994,0.11101640714465941,0.6020650652454267,0.08661451284643536,0.830073324405264,0.06705980224932023,0.9542816326530612,0.026513863315977906,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,RF (balanced_subsample),0.9424242424242424,0.6833333333333333,1.0,0.36666666666666664,0.5365853658536586,1.0,0.6055300708194983,0.5872202195147035,0.9849177777777777,0.9058290230224854,True,3850.0,3500.0,350.0,10.0,0.4325451384568592,0.10810274021105608,0.5047304972226052,0.08264699008632706,0.8573716493862655,0.06200858873689206,0.9705877551020409,0.016505470424555028,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,Class weight LogisticRegression,0.8375757575757575,0.8146666666666667,0.3333333333333333,0.7866666666666666,0.46825396825396826,0.8426666666666667,0.8141853460839109,0.4407251786857338,0.8991955555555555,0.6865739649437055,True,3850.0,3500.0,350.0,10.0,0.4575966776082036,0.0281964021295509,0.43011912449907436,0.03845269175183434,0.6639283541215838,0.06261001257232345,0.8920938775510205,0.0294839627025111,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,Custom weighted log-loss LR,0.9084848484848485,0.8146666666666667,0.4976303317535545,0.7,0.5817174515235457,0.9293333333333333,0.8065564663018537,0.5417518083820868,0.8989911111111111,0.6915616682606768,True,3850.0,3500.0,350.0,10.0,0.5453346683942258,0.05100351334222273,0.5014731739273974,0.058322934288341,,,,,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,Random Oversampling + RF,0.9581818181818181,0.7729999999999999,0.9879518072289156,0.5466666666666666,0.703862660944206,0.9993333333333333,0.7391226029707264,0.7181420503992997,0.9841088888888889,0.9167999170124765,True,7000.0,3500.0,3500.0,1.0,0.6083381000360631,0.07018167380514224,0.6361817930483245,0.05479192603733202,0.85977058452821,0.050739315632892586,0.9726326530612244,0.012056636096738604,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,Random Undersampling + RF,0.8921212121212121,0.9016666666666666,0.45364238410596025,0.9133333333333333,0.6061946902654868,0.89,0.9015911859965505,0.5972258941508238,0.9674555555555555,0.823997618216015,True,700.0,350.0,350.0,1.0,0.6303528112370874,0.04859478473364535,0.6125250307841817,0.06079089771466104,0.805930009932991,0.06612756709076992,0.9558081632653062,0.025603756134532012,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,SMOTE + RF,0.963030303030303,0.8746666666666667,0.8156028368794326,0.7666666666666667,0.7903780068728522,0.9826666666666667,0.8679733738875737,0.7705700675287911,0.98018,0.8859803410067397,True,7000.0,3500.0,3500.0,1.0,0.7489715930435387,0.08885905661407095,0.7336795501149885,0.08849729225911762,0.8439765452077814,0.06470500621249493,0.9723183673469388,0.015472447869208969,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,Borderline-SMOTE + RF,0.9606060606060606,0.8553333333333333,0.8195488721804511,0.7266666666666667,0.7703180212014135,0.984,0.8456003784294328,0.750479085621778,0.9815088888888889,0.8857547946867687,True,7000.0,3500.0,3500.0,1.0,0.7445937498717374,0.06457599951091478,0.7291673393660549,0.06292607406410011,0.8383455348140159,0.054290243019073384,0.9730612244897958,0.012300184711622192,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,ADASYN + RF,0.9618181818181818,0.877,0.8,0.7733333333333333,0.7864406779661017,0.9806666666666667,0.8708514352185579,0.7656148594148435,0.9777577777777777,0.8662427599651841,True,7070.0,3500.0,3570.0,0.9803921568627451,0.7469656163626313,0.07481155433236239,0.7254086971783453,0.07995173732421666,0.8140100410334329,0.0745299503321008,0.9700857142857142,0.014878791975344098,True,
10,5500,500,1.0,0.0,0.0,3850,1650,3500,350,10.0,1500,150,10.0,clean,SMOTE-Tomek + RF,0.963030303030303,0.8746666666666667,0.8156028368794326,0.7666666666666667,0.7903780068728522,0.9826666666666667,0.8679733738875737,0.7705700675287911,0.98018,0.8859803410067397,True,7000.0,3500.0,3500.0,1.0,0.7489715930435387,0.08885905661407095,0.7336795501149885,0.08849729225911762,0.8439765452077814,0.06470500621249493,0.9723183673469388,0.015472447869208969,True,
