dataset,scenario,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
synthetic,clean_IR=1000:1,Custom weighted log-loss LR,0.9991563991563992,0.0001386390942034,0.5999777777777777,0.0881665175382061,0.5714285714285715,0.5150787536377127,0.1999999999999999,0.1763834207376393,0.291866028708134,0.2533175405157712,0.3645698524609719,0.3171923892413805,0.3346111260734953,0.2901339539002107,0.7708355555555556,0.0780900958611586,0.2799524700784451,0.1891040837613828,14999.333333333334,1.1547005383791202,0.6666666666666666,1.1547005383792517,12.0,2.6457513110645907,3.0,2.6457513110645907,3,0,0,0,3
synthetic,clean_IR=1000:1,ADASYN + RF,0.9988677988677988,6.660006660008655e-05,0.5554333333333333,0.0693515040291925,0.2314814814814814,0.2228001743614067,0.1111111111111111,0.1387777332977421,0.1461988304093567,0.1703953483547773,0.2581615915304719,0.2581558532035178,0.1573280172359628,0.1738874617977257,0.9026170370370372,0.0364225317140489,0.0724392932147882,0.0718370451028986,14996.333333333334,1.1547005383791202,3.6666666666666665,1.1547005383792517,13.333333333333334,2.0816659994661326,1.6666666666666667,2.0816659994661326,3,0,0,0,3
synthetic,clean_IR=1000:1,SMOTE + RF,0.9988011988011988,6.660006660008655e-05,0.5443,0.0769319251748655,0.1333333333333333,0.2309401076758503,0.0888888888888888,0.1539600717839002,0.1066666666666666,0.1847520861406802,0.1720981632028005,0.2980827625565312,0.1083637177319491,0.1885256611969269,0.863462962962963,0.1080572370582297,0.0929965977142221,0.1159086338891891,14995.666666666666,1.5275252316519965,4.333333333333333,1.5275252316519463,13.666666666666666,2.309401076758504,1.3333333333333333,2.309401076758504,3,0,0,0,3
synthetic,clean_IR=100:1,SMOTE + RF,0.9937843784378438,0.0009669084615647,0.7273611111111111,0.0540671735830463,0.8587801087801088,0.1028919277011053,0.4555555555555555,0.1084401183107952,0.5871879362733021,0.0899157061826249,0.671444898933632,0.0804560569476441,0.6181237452892611,0.0714373931852114,0.9829458333333332,0.0067424436156704,0.7003461628171843,0.0671036714984138,5995.0,4.0,5.0,4.0,32.666666666666664,6.506407098647712,27.33333333333333,6.506407098647712,3,0,0,0,3
synthetic,clean_IR=100:1,SMOTE-Tomek + RF,0.9937843784378438,0.0009669084615647,0.7273611111111111,0.0540671735830463,0.8587801087801088,0.1028919277011053,0.4555555555555555,0.1084401183107952,0.5871879362733021,0.0899157061826249,0.671444898933632,0.0804560569476441,0.6181237452892611,0.0714373931852114,0.9829458333333332,0.0067424436156704,0.7003461628171843,0.0671036714984138,5995.0,4.0,5.0,4.0,32.666666666666664,6.506407098647712,27.33333333333333,6.506407098647712,3,0,0,0,3
synthetic,clean_IR=100:1,ADASYN + RF,0.9937293729372936,0.0007562006097286,0.7245833333333334,0.0437980688310949,0.8702380952380953,0.138151671556089,0.45,0.0881917103688197,0.5837166991552957,0.0671337369275413,0.6682492788400586,0.0674468251056695,0.6175427631183635,0.0490684933987811,0.981673148148148,0.0059476637072973,0.6790309759846216,0.0754454609173565,5995.0,5.5677643628300215,5.0,5.5677643628300215,33.0,5.291502622129181,27.0,5.291502622129181,3,0,0,0,3
synthetic,clean_IR=10:1,SMOTE + RF,0.9723232323232324,0.0074802054875044,0.8917777777777779,0.01602890906849,0.8917129579934163,0.0610455932567522,0.7933333333333333,0.0266666666666666,0.8394520610698888,0.0413007789457733,0.8862682064772708,0.0173108621393984,0.8261645959092387,0.0466268755700309,0.9853125925925926,0.010985684586935,0.9217209058238988,0.0446482076725108,1485.3333333333333,8.504900548115362,14.666666666666666,8.504900548115383,31.0,4.0,119.0,4.0,3,0,0,0,3
synthetic,clean_IR=10:1,SMOTE-Tomek + RF,0.9723232323232324,0.0074802054875044,0.8917777777777779,0.01602890906849,0.8917129579934163,0.0610455932567522,0.7933333333333333,0.0266666666666666,0.8394520610698888,0.0413007789457733,0.8862682064772708,0.0173108621393984,0.8261645959092387,0.0466268755700309,0.9853125925925926,0.010985684586935,0.9217209058238988,0.0446482076725108,1485.3333333333333,8.504900548115362,14.666666666666666,8.504900548115383,31.0,4.0,119.0,4.0,3,0,0,0,3
synthetic,clean_IR=10:1,SMOTE-ENN + RF,0.971111111111111,0.0090774310863276,0.8971111111111112,0.0213758257367037,0.8681378102791224,0.0689814551502521,0.8066666666666666,0.0371184290855334,0.8359623788525945,0.0497104296346301,0.892415971088532,0.0231310670660304,0.8209950289057826,0.055509200727369,0.9841244444444444,0.0116396412909813,0.9136221817795356,0.0469399327879284,1481.3333333333333,10.11599393699566,18.666666666666668,10.11599393699568,29.0,5.5677643628300215,121.0,5.5677643628300215,3,0,0,0,3
synthetic,clean_IR=50:1,SMOTE + RF,0.9854756717501816,0.0038131548563035,0.7312592592592592,0.0452266355112867,0.7212254497085975,0.1664166915655283,0.4666666666666666,0.0909483641319161,0.5581783917157234,0.0942680839086237,0.6794376461479886,0.0677581872526512,0.5689387594998566,0.096278221420714,0.9785818930041152,0.0095106540931355,0.6362057877095064,0.1129082069886891,4481.333333333333,16.77299416721224,18.666666666666668,16.77299416721217,48.0,8.18535277187245,42.0,8.18535277187245,3,0,0,0,3
synthetic,clean_IR=50:1,SMOTE-Tomek + RF,0.9854756717501816,0.0038131548563035,0.7312592592592592,0.0452266355112867,0.7212254497085975,0.1664166915655283,0.4666666666666666,0.0909483641319161,0.5581783917157234,0.0942680839086237,0.6794376461479886,0.0677581872526512,0.5689387594998566,0.096278221420714,0.9785818930041152,0.0095106540931355,0.6362057877095064,0.1129082069886891,4481.333333333333,16.77299416721224,18.666666666666668,16.77299416721217,48.0,8.18535277187245,42.0,8.18535277187245,3,0,0,0,3
synthetic,clean_IR=50:1,Borderline-SMOTE + RF,0.9860566448801744,0.0025685895691833,0.7115925925925927,0.0476681343122067,0.7738319856244384,0.1303855305364964,0.4259259259259259,0.0957964233805745,0.5422790542790542,0.0918260925377996,0.6488394182497147,0.0748496627430553,0.5639907018678035,0.0843595312875291,0.9772106995884772,0.0153386476811378,0.6421681875769785,0.1113302167535194,4487.666666666667,10.115993936995618,12.333333333333334,10.11599393699568,51.66666666666666,8.621678104251707,38.333333333333336,8.621678104251707,3,0,0,0,3
synthetic,overlap_feature_noise_IR=1000:1,Custom weighted log-loss LR,0.9990675990675992,6.66000666000588e-05,0.5444333333333333,0.0508993232873592,0.5833333333333334,0.5204164998665332,0.0888888888888888,0.1018350154434631,0.1469298245614035,0.1590328136782095,0.2351325259596029,0.2244898873456255,0.215035277455261,0.1970712578677901,0.6869925925925925,0.0996825694072008,0.1937657889692331,0.1204601014575524,14999.666666666666,0.5773502691897571,0.3333333333333333,0.5773502691896258,13.666666666666666,1.5275252316519468,1.3333333333333333,1.5275252316519468,3,0,0,0,3
