dataset,scenario,experiment,parameter,parameter_value,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,ADASYN + RF,0.9838779956427016,0.007199438623903363,0.8066666666666666,0.07186467048694736,0.5940887672898617,0.18573977727176658,0.6222222222222222,0.13922182317935183,0.6068813131313131,0.1625146048980612,0.7820554307455622,0.0908193393112054,0.599327040217494,0.1658237323315002,0.9668037037037037,0.01654625782683019,0.5910927232614666,0.24422534361390194,4460.0,20.663978319771825,40.0,20.663978319771825,34.0,12.529964086141668,56.0,12.529964086141668,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,Balanced Bagging,0.9084967320261438,0.04588837331474801,0.8789259259259259,0.03465889039088779,0.17668093238587423,0.06533125785296878,0.8481481481481481,0.02312962221629043,0.2890191895863145,0.09366822754489122,0.878342693012082,0.034312436345020986,0.3594129332166162,0.08855076448839973,0.9385263374485597,0.030632283371222528,0.42174703089767634,0.1865022191419786,4093.6666666666665,208.56733525011367,406.3333333333333,208.56733525011373,13.666666666666666,2.081665999466133,76.33333333333333,2.081665999466131,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,Balanced Random Forest,0.9379811183732752,0.028215260023582708,0.8812592592592593,0.017706918970387512,0.23966988607346706,0.09768657591613253,0.8222222222222223,0.011111111111111155,0.36446662034374916,0.11556602193401853,0.8792269092308115,0.017121610508498065,0.41942773154757623,0.0969624600146467,0.9519065843621398,0.02324549507330545,0.5477543491442479,0.22560912075683617,4231.333333333333,129.0206701785931,268.6666666666667,129.0206701785932,16.0,1.0,74.0,1.0,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,Baseline RF,0.9864923747276689,0.004501956060952492,0.6646296296296296,0.10361695445740914,0.8946608946608947,0.15694257766113293,0.32962962962962966,0.20677814595863495,0.46625476080701295,0.25131289239769866,0.5506843783302641,0.19868474715003012,0.5264957905050253,0.22642014699813964,0.9394440329218107,0.03895376998712615,0.6790613233784596,0.2049767908438158,4498.333333333333,2.081665999466005,1.6666666666666667,2.0816659994661326,60.333333333333336,18.610033136277146,29.666666666666668,18.610033136277146,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,Borderline-SMOTE + RF,0.9851851851851853,0.006561316055065611,0.7728518518518519,0.08304701430131096,0.6438017959536947,0.19347150188460369,0.5518518518518518,0.1626680833777611,0.5942232980694518,0.1766026886440002,0.7349972545808193,0.11364080539283966,0.5885652318324887,0.1806154873396982,0.9527205761316874,0.024383297143672125,0.6100123999721768,0.24923068838272738,4472.333333333333,15.534906930307931,27.666666666666668,15.53490693030806,40.333333333333336,14.6401275039985,49.666666666666664,14.6401275039985,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,Class weight LogisticRegression,0.8161220043572985,0.08067859063310191,0.819111111111111,0.05031346186106101,0.09273585270211139,0.04136582581687587,0.8222222222222223,0.033333333333333326,0.1649398234915229,0.06670726794918028,0.8185199789276923,0.05081348825616796,0.23545426040324277,0.07533656160562434,0.8963069958847737,0.045909376105632,0.3105164141837495,0.2337301793157417,3672.0,369.04877726392755,828.0,369.04877726392755,16.0,3.0,74.0,3.0,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,Custom weighted log-loss LR,0.9781408859840233,0.004602745643425109,0.6658148148148149,0.1327042722308244,0.3733075435203095,0.19650352523127712,0.3407407407407408,0.2669751302361496,0.3480226863822131,0.24490134559964,0.5403774742518077,0.2608071639109775,0.3417083512726867,0.2395901958078358,0.8946263374485598,0.041833418449267926,0.37669820225536615,0.24076766809678837,4459.0,14.52583904633395,41.0,14.52583904633395,59.333333333333336,24.027761721253466,30.666666666666668,24.027761721253466,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,EasyEnsemble,0.8447349310094409,0.06840553855244352,0.8391481481481481,0.04284083856041645,0.10907416827489735,0.04631962860543895,0.8333333333333334,0.01924500897298753,0.1907902969987825,0.07243613503809121,0.8388251964639565,0.0428366417414297,0.26468101325610116,0.07652025300431017,0.9039864197530866,0.030249231783171578,0.345382481187678,0.24440371022767168,3802.3333333333335,312.5897204537177,697.6666666666666,312.58972045371763,15.0,1.7320508075688772,75.0,1.7320508075688772,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,RF (balanced_subsample),0.9856935366739288,0.004380836930096007,0.6424444444444445,0.09967676153509128,0.8666666666666667,0.23094010767585033,0.28518518518518515,0.19886509272087108,0.41531806615776085,0.26339264450176175,0.5034609786909215,0.2180337417729586,0.48014840622118715,0.25122564420664906,0.9472197530864198,0.0302797843057208,0.6724843775732635,0.22217207175969259,4498.666666666667,2.3094010767586344,1.3333333333333333,2.3094010767585034,64.33333333333333,17.8978583448784,25.666666666666668,17.897858344878397,3,0,0,0,3
synthetic,dimensionality:n_features=10,dimensionality,n_features,10,RUSBoost,0.8372549019607843,0.023295252179751477,0.701037037037037,0.10295398308829468,0.06827112185052336,0.028706078314618112,0.5592592592592592,0.18669752831301567,0.12160713183886523,0.049951992588650365,0.6804339207083974,0.12692352442511523,0.1524524463243648,0.0827575055961727,0.7811893004115226,0.08763210173378448,0.13753133699160314,0.1338742221711107,3792.6666666666665,90.89187715815602,707.3333333333334,90.89187715815606,39.666666666666664,16.802777548171413,50.333333333333336,16.802777548171413,3,0,0,0,3
